Users,ScreenUsage,HeartRate, ActivFit, storage, Notif, BatterySensor, Bluetooth, LightSensor, Activity,SA,Errors
7e605421cf9a86f7,15.0,15.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,1.0
b97e67bdc81cd49c,31.0,31.0,0.0,0.0,0.0,32.0,19.0,32.0,0.0,32.0,1.0
8268fe8d46d3e4bb,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
9870b38614ac6043,138.0,137.0,49.0,0.0,134.0,140.0,117.0,140.0,49.0,140.0,0.0
6fafa1a728b7846d,61.0,61.0,0.0,0.0,0.0,64.0,62.0,64.0,0.0,64.0,1.0
aecf254a0fad7d19,53.0,54.0,0.0,0.0,33.0,55.0,42.0,55.0,0.0,55.0,1.0
5d38c1fcc74d8570,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
267ebd83542768a1,36.0,36.0,34.0,0.0,36.0,36.0,36.0,0.0,34.0,36.0,6.0
b3bfddcfd19ac531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2684f51645477782,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,1.0
b58c515df27266a0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78c70e9e1a2b86f7,13.0,13.0,2.0,0.0,0.0,13.0,13.0,13.0,2.0,13.0,1.0
1ae704e7f8f91188,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
b46459187576ea38,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
a9a224d377ce03ed,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
62f521764001569b,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
db56698c036d817e,20.0,20.0,2.0,0.0,0.0,24.0,16.0,24.0,2.0,24.0,1.0
195b70eb124cbec6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3772a5cc564bc9eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43a05086ccde3337,57.0,57.0,0.0,0.0,51.0,57.0,55.0,57.0,0.0,57.0,2.0
43771e85723d8ee2,27.0,27.0,5.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,0.0
6c3297d8a10d6cf0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,1.0
f6ae4e9cb5218cc0,74.0,20.0,72.0,0.0,74.0,74.0,73.0,0.0,72.0,74.0,1.0
a9ce5bf88e58c21a,25.0,27.0,0.0,0.0,0.0,31.0,28.0,0.0,0.0,31.0,1.0
1d0eb52e52bd2961,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0
87e3f9253ff6413a,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
8df26b114656884a,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
344e3c325cc43a32,32.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,32.0,1.0
96e63eaf790cf9ac,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
e33d9a41179dc023,319.0,298.0,0.0,0.0,316.0,319.0,239.0,0.0,0.0,319.0,1.0
39fae6efe35e99ba,10.0,10.0,9.0,0.0,10.0,10.0,7.0,10.0,9.0,10.0,0.0
e50b31aa51a02460,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
f3a065f807f98344,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
8618d9eb962916fe,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
47358ba70b43236d,23.0,0.0,18.0,0.0,23.0,23.0,23.0,23.0,17.0,23.0,0.0
18cdcacd66829a7b,4.0,3.0,3.0,0.0,4.0,4.0,3.0,0.0,3.0,5.0,0.0
81e018d1e33a2e73,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0
18d31e7f1f8d1208,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0
b553e8a05c755451,13.0,0.0,0.0,0.0,16.0,16.0,15.0,16.0,0.0,16.0,0.0
485e74c39135f825,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ccc6b2de9c5c9fc2,19.0,18.0,19.0,0.0,18.0,19.0,16.0,0.0,19.0,19.0,0.0
af2abdd03329b2b3,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
50e19972eddca222,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
193a073f51539b2f,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,1.0
ab5570563f1e79f,18.0,0.0,0.0,0.0,0.0,18.0,14.0,19.0,0.0,20.0,0.0
a2f5e25831386cc,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6fb5e50f335116e3,31.0,32.0,20.0,0.0,0.0,33.0,31.0,0.0,20.0,33.0,1.0
9a04759aae0377f8,69.0,30.0,63.0,0.0,71.0,71.0,69.0,0.0,62.0,71.0,1.0
a3654d2f260d94ee,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0
98b0084aff3eb3cd,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
aff02f704c0e3e3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abd6cdf21d0009b,18.0,5.0,22.0,0.0,23.0,15.0,23.0,0.0,0.0,25.0,1.0
b9d527b776c5155a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ae148b42efe1940,20.0,20.0,20.0,0.0,0.0,20.0,18.0,20.0,19.0,20.0,0.0
6ff857d1945ea2e3,8.0,8.0,0.0,0.0,6.0,8.0,6.0,8.0,0.0,8.0,1.0
8091168a6522eb64,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0
f45a575cb26fd540,8.0,8.0,1.0,0.0,5.0,8.0,5.0,0.0,0.0,8.0,0.0
27f8f66e057891a6,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0
6406044bd3b06364,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0
1b87d5e7a13a2de6,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
ddbc1b0e562b091b,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0
7e6b5ea5396e5652,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
f7048ecd49f71cfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f6c52913cecd99b,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
f56df86ca53c951e,295.0,189.0,37.0,0.0,321.0,344.0,337.0,344.0,35.0,344.0,7.0
71237b3bfc2496c8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2f23cc3aecd095d6,7.0,7.0,0.0,0.0,1.0,7.0,6.0,7.0,0.0,7.0,1.0
ca079bda0121c1ec,4.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,4.0,2.0
d166bc20ff86ff45,2.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0
bbb9c7a13b14907c,60.0,25.0,60.0,0.0,60.0,60.0,56.0,0.0,60.0,60.0,1.0
895ae172d581c30,104.0,0.0,76.0,0.0,89.0,104.0,96.0,0.0,67.0,104.0,1.0
fed57406c2b4211d,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0,15.0,1.0
5c7e4f5423c22ea7,31.0,0.0,0.0,0.0,0.0,31.0,29.0,31.0,0.0,31.0,0.0
a292011c8a889e33,16.0,0.0,17.0,0.0,15.0,17.0,16.0,17.0,16.0,17.0,1.0
2e32770c972bc1a1,17.0,4.0,17.0,0.0,16.0,17.0,17.0,0.0,17.0,17.0,0.0
410db61a0356a6a8,6.0,6.0,0.0,0.0,5.0,7.0,5.0,7.0,0.0,7.0,1.0
a954bdac19f382ea,14.0,17.0,12.0,0.0,14.0,17.0,14.0,0.0,12.0,17.0,0.0
825164f88e9121f1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
b58de00a600c9491,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0
6293389358a26f97,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
56c18c15956dfaa1,21.0,1.0,21.0,0.0,21.0,21.0,21.0,0.0,16.0,21.0,1.0
c5eaa3747d50159e,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0
dd7dc0f075435615,22.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,0.0,22.0,0.0
41137ca04fa8110a,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
48e53cff3c5acc45,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
72d1528e24e984d7,18.0,19.0,12.0,0.0,0.0,19.0,13.0,19.0,0.0,19.0,1.0
4fd7a233b95a1cfe,39.0,0.0,42.0,0.0,42.0,42.0,32.0,42.0,0.0,42.0,0.0
169f2cdf4d1b1d7,12.0,6.0,10.0,0.0,4.0,12.0,10.0,0.0,10.0,12.0,1.0
968d46a61b7193f4,12.0,12.0,7.0,0.0,12.0,12.0,9.0,0.0,6.0,12.0,0.0
85140844c3d5442c,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
c6a850df45c416a7,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0
1b51c87381fa5d46,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
3c5a03aec7b16b50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9b72a9465d49bc78,17.0,0.0,17.0,0.0,16.0,17.0,17.0,17.0,17.0,17.0,0.0
69a1902ca3b78cf0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0
6e3b8c2a54a7dfa1,28.0,27.0,29.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,1.0
8abaf3ce125865f0,38.0,38.0,38.0,0.0,37.0,38.0,34.0,38.0,38.0,38.0,1.0
df339751e3536e85,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78deea4c726cbdd5,97.0,94.0,70.0,0.0,0.0,98.0,58.0,96.0,69.0,98.0,0.0
ae09e2be21b3f6e5,98.0,94.0,0.0,0.0,115.0,115.0,38.0,115.0,0.0,115.0,7.0
d22742beb5cbb792,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
6f323c44cdabb271,30.0,0.0,30.0,0.0,30.0,32.0,22.0,0.0,30.0,32.0,1.0
ab0077712ffd7a38,16.0,0.0,15.0,0.0,12.0,16.0,14.0,16.0,15.0,16.0,1.0
5b1af9af75784fc3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
7b573c7de824c8c1,13.0,3.0,13.0,0.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0
cbd5b43efdd81da3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62121f969efd95c0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
770dd5de6c6bff01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
e4407626abe4df39,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0
3b4b9ecc13d8f24,16.0,16.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,16.0,2.0
5627b7ca27fb3b56,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
809f9e8698ec978a,48.0,48.0,0.0,0.0,40.0,49.0,47.0,0.0,0.0,49.0,0.0
d169b7284595ce07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbdb86ec3771ea38,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0
670bff70b4b45d74,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,1.0
b9160febf5a3f299,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,1.0
7b90b39baab59492,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
4928a3df1601e613,5.0,5.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,5.0,1.0
78ebaa19fc60333d,7.0,7.0,7.0,0.0,8.0,7.0,8.0,0.0,7.0,8.0,1.0
a5179762425e9b0d,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
75b99f7ff6dedd66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec1eaf814997c9a5,112.0,115.0,0.0,0.0,114.0,116.0,91.0,116.0,0.0,116.0,0.0
9239f2b43bbcb3fd,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
b88c19d7304b6e26,62.0,50.0,62.0,0.0,62.0,62.0,42.0,62.0,62.0,62.0,1.0
32453cf47e805e23,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
10a38b2ac882353c,4.0,0.0,4.0,0.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0
59076acd7a824c4e,6.0,0.0,6.0,0.0,6.0,6.0,4.0,6.0,6.0,6.0,1.0
7aa302d85e35aa25,13.0,13.0,0.0,0.0,0.0,13.0,12.0,13.0,0.0,13.0,0.0
f7625685681d0bd4,111.0,57.0,101.0,0.0,111.0,111.0,94.0,111.0,95.0,111.0,5.0
ea320e22f5624780,9.0,9.0,9.0,0.0,0.0,9.0,8.0,9.0,9.0,9.0,1.0
319162c9be83d912,6.0,6.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,0.0
17c3a63ae65191fa,63.0,37.0,24.0,0.0,57.0,63.0,60.0,37.0,21.0,63.0,1.0
755ba6b5a7ca35aa,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
5467ac6ec92bd74b,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
90439f92e71be0e9,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
28c58c3e79b2c5c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f12c3db705d4c0f1,43.0,0.0,0.0,0.0,43.0,43.0,35.0,43.0,0.0,44.0,1.0
bcbe68c691101c41,83.0,0.0,0.0,0.0,0.0,84.0,82.0,0.0,0.0,84.0,0.0
5b9acd04cfd20f7d,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0
91ce83537314e27e,4.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0
b7a9bb7eb5b992bf,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
e339c58e853072cf,40.0,39.0,32.0,0.0,40.0,40.0,38.0,0.0,32.0,41.0,9.0
9bedbdeba778f163,9.0,9.0,7.0,0.0,9.0,9.0,8.0,9.0,7.0,9.0,0.0
860c9672c6308db,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0
aad4a426806bdec0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,1.0
947a3b86dda9ca9d,86.0,80.0,74.0,0.0,0.0,86.0,59.0,86.0,70.0,86.0,1.0
67f8744bf886ee96,9.0,9.0,1.0,0.0,9.0,9.0,8.0,9.0,1.0,9.0,0.0
6561a8b36531d334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b7113d1a55acbce6,9.0,0.0,6.0,0.0,4.0,9.0,9.0,9.0,6.0,9.0,0.0
6e9ddcfdedccf3a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd42fec330e25bc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca439bcd76e4f84b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
997c7e730ecb6b52,83.0,82.0,23.0,0.0,77.0,94.0,78.0,95.0,23.0,95.0,2.0
802423acb2b1671a,3.0,0.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0
5c27a5df8f299217,67.0,67.0,67.0,0.0,67.0,67.0,47.0,67.0,67.0,67.0,1.0
7f7f67ad97431fa5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59a3e064ff6d8fcd,31.0,32.0,30.0,0.0,0.0,32.0,30.0,32.0,30.0,32.0,1.0
41572d9f5960a5f6,22.0,14.0,22.0,0.0,22.0,22.0,20.0,0.0,0.0,22.0,1.0
9eb0e9c0e12fd771,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0
5b10517e0df5d306,33.0,33.0,14.0,0.0,31.0,33.0,31.0,0.0,14.0,33.0,3.0
5168899baf30749a,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
35131929b3f557b8,27.0,8.0,24.0,0.0,26.0,27.0,15.0,0.0,24.0,27.0,5.0
82a22f75fce43ecb,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0
4de120aa06266f44,23.0,23.0,1.0,0.0,24.0,24.0,24.0,0.0,1.0,24.0,1.0
a1188ac214ef3696,3.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0
382c96b2edb5848b,4.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0
c1c6d27c64676528,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,1.0
2d88d5fefccb6eae,33.0,0.0,32.0,0.0,32.0,34.0,32.0,34.0,29.0,34.0,2.0
4ab6094ecf5f3613,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0
91dd007f605034c3,17.0,17.0,0.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,1.0
6b68d9d11a689a59,5.0,5.0,3.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0
dd384d1b2c86d721,5.0,0.0,1.0,0.0,5.0,5.0,3.0,5.0,0.0,5.0,0.0
947073e45e219647,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0
516bcc42cf25908d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c54f392851c6cf41,2.0,0.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,4.0,0.0
edf10ca2b99b3253,18.0,0.0,0.0,0.0,0.0,19.0,18.0,20.0,0.0,21.0,1.0
a41205aa251f256a,5.0,3.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,5.0,2.0
db5d920093e42adf,9.0,5.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0
1e04a6b98d331fb6,62.0,62.0,0.0,0.0,60.0,62.0,53.0,62.0,0.0,62.0,0.0
93f07d341ad542da,9.0,8.0,1.0,0.0,9.0,9.0,8.0,9.0,1.0,9.0,1.0
44227d1e573b50a0,19.0,19.0,19.0,0.0,19.0,19.0,16.0,0.0,19.0,19.0,1.0
8dce05b3ff3f1c42,20.0,20.0,0.0,0.0,20.0,20.0,18.0,0.0,0.0,20.0,4.0
816f074ed6b03ca3,8.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,8.0,0.0
afdd18a37ba08594,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0
e0076a851fb8d9c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62e3a22357cf5f5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61a60fedd5da38de,42.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,41.0,42.0,0.0
